Topic:,Problem: ,Link :,Index
Searching & Sorting,Count triplet with sum smaller than a given value,https://practice.geeksforgeeks.org/problems/count-triplets-with-sum-smaller-than-x5549/1,12
Searching & Sorting,merge 2 sorted arrays,https://practice.geeksforgeeks.org/problems/merge-two-sorted-arrays5135/1,13
Searching & Sorting,print all subarrays with 0 sum,https://practice.geeksforgeeks.org/problems/zero-sum-subarrays/0,14
Searching & Sorting,Product array Puzzle,https://practice.geeksforgeeks.org/problems/product-array-puzzle/0,15
Searching & Sorting,Sort array according to count of set bits,https://practice.geeksforgeeks.org/problems/sort-by-set-bit-count/0,16
Searching & Sorting,minimum no. of swaps required to sort the array,https://practice.geeksforgeeks.org/problems/minimum-swaps/1,17
Searching & Sorting,Bishu and Soldiers,https://www.hackerearth.com/practice/algorithms/searching/binary-search/practice-problems/algorithm/bishu-and-soldiers/,18
Searching & Sorting,Rasta and Kheshtak,https://www.hackerearth.com/practice/algorithms/searching/binary-search/practice-problems/algorithm/rasta-and-kheshtak/,19
Searching & Sorting,Kth smallest number again,https://www.hackerearth.com/practice/algorithms/searching/binary-search/practice-problems/algorithm/kth-smallest-number-again-2/,20
Searching & Sorting,Find pivot element in a sorted array,http://theoryofprogramming.com/2017/12/16/find-pivot-element-sorted-rotated-array/,21
Searching & Sorting,K-th Element of Two Sorted Arrays,https://practice.geeksforgeeks.org/problems/k-th-element-of-two-sorted-array/0,22
Searching & Sorting,Aggressive cows,https://www.spoj.com/problems/AGGRCOW/,23
Searching & Sorting,Book Allocation Problem,https://practice.geeksforgeeks.org/problems/allocate-minimum-number-of-pages/0,24
Searching & Sorting,EKOSPOJ:,https://www.spoj.com/problems/EKO/,25
Searching & Sorting,Job Scheduling Algo,https://www.geeksforgeeks.org/weighted-job-scheduling-log-n-time/,26
Searching & Sorting,Missing Number in AP,https://practice.geeksforgeeks.org/problems/arithmetic-number/0,27
Searching & Sorting,Smallest number with atleastn trailing zeroes infactorial,https://practice.geeksforgeeks.org/problems/smallest-factorial-number5929/1,28
Searching & Sorting,Painters Partition Problem:,https://practice.geeksforgeeks.org/problems/allocate-minimum-number-of-pages/0,29
Searching & Sorting,ROTI-Prata SPOJ,https://www.spoj.com/problems/PRATA/,30
Searching & Sorting,DoubleHelix SPOJ,https://www.spoj.com/problems/ANARC05B/,31
Searching & Sorting,Subset Sums,https://www.spoj.com/problems/SUBSUMS/,32
Searching & Sorting,Findthe inversion count,https://practice.geeksforgeeks.org/problems/inversion-of-array/0,33
Searching & Sorting,Implement Merge-sort in-place,https://www.geeksforgeeks.org/in-place-merge-sort/,34
Searching & Sorting,Partitioning and Sorting Arrays with Many Repeated Entries,https://www.baeldung.com/java-sorting-arrays-with-repeated-entries,35
,,,
,,,
LinkedList,Write a Program to reverse the Linked List. (Both Iterative and recursive),https://www.geeksforgeeks.org/reverse-a-linked-list/,0
LinkedList,Reverse a Linked List in group of Given Size. [Very Imp],https://practice.geeksforgeeks.org/problems/reverse-a-linked-list-in-groups-of-given-size/1,1
LinkedList,Write a program to Detect loop in a linked list.,https://practice.geeksforgeeks.org/problems/detect-loop-in-linked-list/1,2
LinkedList,Write a program to Delete loop in a linked list.,https://practice.geeksforgeeks.org/problems/remove-loop-in-linked-list/1,3
LinkedList,Find the starting point of the loop. ,https://www.geeksforgeeks.org/find-first-node-of-loop-in-a-linked-list/,4
LinkedList,Remove Duplicates in a sorted Linked List.,https://practice.geeksforgeeks.org/problems/remove-duplicate-element-from-sorted-linked-list/1,5
LinkedList,Remove Duplicates in a Un-sorted Linked List.,https://practice.geeksforgeeks.org/problems/remove-duplicates-from-an-unsorted-linked-list/1,6
LinkedList,Write a Program to Move the last element to Front in a Linked List.,https://www.geeksforgeeks.org/move-last-element-to-front-of-a-given-linked-list/,7
LinkedList,Add “1” to a number represented as a Linked List.,https://practice.geeksforgeeks.org/problems/add-1-to-a-number-represented-as-linked-list/1,8
LinkedList,Add two numbers represented by linked lists.,https://practice.geeksforgeeks.org/problems/add-two-numbers-represented-by-linked-lists/1,9
LinkedList,Intersection of two Sorted Linked List.,https://practice.geeksforgeeks.org/problems/intersection-of-two-sorted-linked-lists/1,10
LinkedList,Intersection Point of two Linked Lists.,https://practice.geeksforgeeks.org/problems/intersection-point-in-y-shapped-linked-lists/1,11
LinkedList,Merge Sort For Linked lists.[Very Important],https://practice.geeksforgeeks.org/problems/sort-a-linked-list/1,12
LinkedList,Quicksort for Linked Lists.[Very Important],https://practice.geeksforgeeks.org/problems/quick-sort-on-linked-list/1,13
LinkedList,Find the middle Element of a linked list.,https://leetcode.com/problems/middle-of-the-linked-list/,14
LinkedList,Check if a linked list is a circular linked list.,https://practice.geeksforgeeks.org/problems/circular-linked-list/1,15
LinkedList,Split a Circular linked list into two halves.,https://practice.geeksforgeeks.org/problems/split-a-circular-linked-list-into-two-halves/1,16
LinkedList,Write a Program to check whether the Singly Linked list is a palindrome or not.,https://practice.geeksforgeeks.org/problems/check-if-linked-list-is-pallindrome/1,17
LinkedList,Deletion from a Circular Linked List.,https://www.geeksforgeeks.org/deletion-circular-linked-list/,18
LinkedList,Reverse a Doubly Linked list.,https://practice.geeksforgeeks.org/problems/reverse-a-doubly-linked-list/1,19
LinkedList,Find pairs with a given sum in a DLL.,https://www.geeksforgeeks.org/find-pairs-given-sum-doubly-linked-list/,20
LinkedList,Count triplets in a sorted DLL whose sum is equal to given value “X”.,https://www.geeksforgeeks.org/count-triplets-sorted-doubly-linked-list-whose-sum-equal-given-value-x/,21
LinkedList,Sort a “k”sorted Doubly Linked list.[Very IMP],https://www.geeksforgeeks.org/sort-k-sorted-doubly-linked-list/,22
LinkedList,Rotate DoublyLinked list by N nodes.,https://www.geeksforgeeks.org/rotate-doubly-linked-list-n-nodes/,23
LinkedList,Rotate a Doubly Linked list in group of Given Size.[Very IMP],https://www.geeksforgeeks.org/reverse-doubly-linked-list-groups-given-size/,24
LinkedList,Can we reverse a linked list in less than O(n) ?,,25
LinkedList,Why Quicksort is preferred for. Arrays and Merge Sort for LinkedLists ?,,26
LinkedList,Flatten a Linked List,https://practice.geeksforgeeks.org/problems/flattening-a-linked-list/1,27
LinkedList,"Sort a LL of 0's, 1's and 2's",https://practice.geeksforgeeks.org/problems/given-a-linked-list-of-0s-1s-and-2s-sort-it/1,28
LinkedList,Clone a linked list with next and random pointer,https://practice.geeksforgeeks.org/problems/clone-a-linked-list-with-next-and-random-pointer/1,29
LinkedList,Merge K sorted Linked list,https://practice.geeksforgeeks.org/problems/merge-k-sorted-linked-lists/1,30
LinkedList,Multiply 2 no. represented by LL,https://practice.geeksforgeeks.org/problems/multiply-two-linked-lists/1,31
LinkedList,Delete nodes which have a greater value on right side,https://practice.geeksforgeeks.org/problems/delete-nodes-having-greater-value-on-right/1,32
LinkedList,Segregate even and odd nodes in a Linked List,https://practice.geeksforgeeks.org/problems/segregate-even-and-odd-nodes-in-a-linked-list/0,33
LinkedList,Program for n’th node from the end of a Linked List,https://practice.geeksforgeeks.org/problems/nth-node-from-end-of-linked-list/1,34
LinkedList,Find the first non-repeating character from a stream of characters,https://practice.geeksforgeeks.org/problems/first-non-repeating-character-in-a-stream/0,35
,,,
,,,
Binary Trees,level order traversal,https://practice.geeksforgeeks.org/problems/level-order-traversal/1,0
Binary Trees,Reverse Level Order traversal,https://practice.geeksforgeeks.org/problems/reverse-level-order-traversal/1,1
Binary Trees,Height of a tree,https://practice.geeksforgeeks.org/problems/height-of-binary-tree/1,2
Binary Trees,Diameter of a tree,https://practice.geeksforgeeks.org/problems/diameter-of-binary-tree/1,3
Binary Trees,Mirror of a tree,https://www.geeksforgeeks.org/create-a-mirror-tree-from-the-given-binary-tree/,4
Binary Trees,Inorder Traversal of a tree both using recursion and Iteration,https://www.techiedelight.com/inorder-tree-traversal-iterative-recursive/,5
